text,section,header,div,p,s,id
"Power was .88 for detecting a medium-sized association between leader narcissism levels and self-perceived leadership functioning (r = .30, estimated from Brunell et al., 2008, Study 2; N = 107 groups).",method,Participants,6,4,3,0956797620965536
"Power was .80 for detecting a medium-sized association between leader narcissism levels and objective leadership functioning (operationalized in terms of group performance, b = 0.57, odds ratio [OR] = 1.76, and adjusted for a group success rate of 36%, estimated from Nevicka, Ten Velden, et al., 2011; N = 107 groups).",method,Participants,6,4,4,0956797620965536
"Although specification-curve analyses demonstrate the robustness of our findings, we call for well-powered replications.",discussion,"Strengths, limitations, and future directions",17,1,4,0956797620965536
"However, no power analyses were conducted in this previous research.",method,Statement of Relevance,4,1,10,0956797620968789
"Our estimated participant numbers were based on effect sizes obtained in comparable studies (summarized by de Groot & Smeets, 2017), in which 25 to 30 participants typically provided sufficient statistical power (80%) to detect a small-to-medium-sized effect (Hedges's g = .36, 95% confidence interval [CI] = [.31, .41]) on comparable indirect measures of emotion, such as facial electromyography, face ratings, startle reflexes, and neural responses (α = .05; correlation among repeated measures: r = .8).",method,Participants,3,1,4,0956797620970548
"Although the conclusion of equal contributions was parsimonious, our confidence in this conclusion was undermined by the weak power of the test of the null hypothesis: δ δ δ 1 2 = = .",results,Vocabulary,8,6,1,0956797620970559
The lack of power arises from the small sample size and the moderately high correlation between earlier and later vocabulary input.,results,Vocabulary,8,6,4,0956797620970559
"Recent examinations of the role of parent language input highlight the predictive power of both quantitative and qualitative differences in parent input (e.g., Cartmill et al., 2013).",discussion,Discussion,11,4,2,0956797620970559
This sample size was chosen to give 80% power to detect a small effect size (r) of .15.,method,Method,3,1,2,0956797620971298
This sample size was chosen to improve statistical power relative to Study 1 and would give 85% power to detect an effect (r) of .15.,method,Method,8,2,2,0956797620971298
"Given that laboratory space and participant-pool demand remained available, in order to maximize power, we oversampled after this goal was reached.",method,Method,8,2,3,0956797620971298
"The cutoff frequencies were decided by visually inspecting the power spectrum averaged across participants, which showed clear drops at 0.1 Hz and 0.18 Hz, suggesting the coexistence of fluctuations of different natures (see Fig.",method,Data preprocessing,8,3,3,0956797620972116
"Overall, the results of this large, well-powered national study indicate that the experience of the early weeks of a global pandemic did not erode relationship satisfaction on average, and people even became more forgiving and less blaming of their partner's negative behaviors by attributing them less to their partner's internal characteristics.",discussion,Discussion,13,1,3,0956797620972688
"The sample size was based on a previous study in younger adults (Lockwood, Hamonet, et al., 2017) and a power calculation that showed that we had 91% power to detect a medium effect size (d = 0.5) with at least 92 participants in each group.",method,Participants,4,1,4,0956797620975781
"To further support the notion that older adults can still distinguish between themselves and others but show less of a self-bias in their choices, and also to test whether our model had good explanatory power in the current sample, we performed a model comparison (Lockwood & Klein-Flügge, 2020).",results,Older and younger adults still distinguish between themselves and others in choices,11,2,1,0956797620975781
"Finally, we note that our results are from a single, albeit well-powered, study, and researchers should seek to replicate our effects in future work.",discussion,Discussion,14,5,9,0956797620975781
"Because we were interested in determining how manipulated scenes would affect interpretation, we used a conservative effect size (d) of 0.5, an alpha of .05, and power of .8 for our sample-size computation (G*Power Version 3.1.9.2; Faul et al., 2007).",method,Method,6,1,7,0956797620984464
"The estimated sample size was 34 participants, but we used 36 to fit the counterbalancing (six conditions), which yielded a power estimate of .83.",method,Method,6,1,8,0956797620984464
"Because we were interested in determining the effects of fixation position on interpretation, we used a medium effect size (d) of 0.6, an alpha of .004 ( Bonferroni corrected for the current study), and power of .8 for our sample-size computation (G*Power Version 3.1.9.2; Faul et al., 2007).",method,Method,10,1,5,0956797620984464
"The estimated sample size was 33 participants, but to fit the counterbalancing, we recruited 48, which yielded a power estimate of .86.",method,Method,10,1,6,0956797620984464
"In addition to inconsistent results, there are few standardized procedures, and sample sizes have been small (a mean of 23 per group in one meta-analysis; Brookwell et al., 2013), limiting power and potentially overestimating effect sizes (Button et al., 2013).",intro,[div-01],1,4,1,0956797620985832
"Our main aim was to collect as large a sample as possible at as many data-collection sites as possible, so decisions regarding sample size were not based purely on power analyses; we preregistered a minimum sample size of 420 for lab-based data collection (based on the anticipated number of data-collection sites) and 800 for online data collection (based on available funding).",method,Participants,5,1,5,0956797620985832
"Given only our anticipated lab-based sample, 420 participants would allow a power of .80 to detect a small effect size (r) of .12-although our aim was to collect substantially more than this number.",method,Participants,5,1,6,0956797620985832
"This effect mirrored the findings from adult EEG recordings, although no effect was found for 6-Hz (infant alpha) power.",intro,[div-01],1,3,3,09567976211001317
"The replication projects published thus far have undoubtedly succeeded in raising awareness of methodological shortcomings with regard to the power of research designs and the pitfalls of postdiction, culminating in the advent of Registered Reports (Nosek & Lakens, 2014) and a widespread adoption of preregistration of research designs in psychology (Nosek & Lindsay, 2018).",intro,[div-01],1,2,1,09567976211005767
"A single replication attempt, especially if insufficiently powered, provides only limited information about whether a prior research result is robust.",intro,[div-01],1,3,1,09567976211005767
"Participating research teams chose studies to replicate from a predefined sampling frame and subsequently conducted independent replication attempts ""using high-powered designs and original materials when available"" (Open Science Collaboration, 2015, abstract).",method,Setting,3,1,3,09567976211005767
"For example, a failed replication attempt might not be able to detect a true effect if it is itself underpowered, whereas a high-powered replication might uncover an effect that is orders of magnitude smaller than the original effect.",method,Variable definitions,6,1,10,09567976211005767
"The ""small-telescopes"" approach of Simonsohn ( 2015) is based on the idea of detectability in that it tests whether the effect obtained in a replication study is smaller than an effect size that the original study had only 33% power to detect.",method,Variable definitions,6,1,11,09567976211005767
An obvious question is whether my inability to reject the null hypothesis is the result of the study being inadequately powered.,results,Potential explanations,10,1,1,09567976211005767
"On the basis of the estimated standard errors in the main specification, I had 80% power to detect an effect of around 0.2 in IHS units for successful replications and around 0.18 IHS units for failed replications at an α of .05, corresponding to 0.19 and 0.17 standard deviations, respectively.",results,Potential explanations,10,1,2,09567976211005767
This issue is particularly important because the power calculations underlying the RP:P replications were based on the original effect sizes.,results,Potential explanations,10,4,2,09567976211005767
"In the presence of a type-M error (Gelman & Carlin, 2014), this practice is likely to result in replication attempts that are themselves not sufficiently powered to detect the effects of interest and hence could render some of the evidence too weak to shift researchers' beliefs.",results,Potential explanations,10,4,3,09567976211005767
"With that sample size, the minimum detectable effect size with statistical power at the recommended .80 level was a Cohen's d of 0.32 for mean comparisons between participants who received a good signal and participants who received a bad signal and a Cohen's d of 0.46 for mean comparisons between the four possible combinations of signals (Cohen, 1988).",method,Participants,4,2,5,09567976211007414
"This smaller sample was enough to detect a medium effect size (η p 2 = .066) with .90 power and an α of .05 for Hypothesis 2 (Faul et al., 2009).",method,Method,4,2,6,09567976211007788
One explanation for these tentative findings could be a lack of power.,results,Experiment 3: Genetically Engineered Food Replicated,9,1,2,09567976211007788
We addressed this issue in Experiment 3 by conducting a high-powered replication.,results,Experiment 3: Genetically Engineered Food Replicated,9,1,3,09567976211007788
The follow-up measure was dropped in order to reserve all our resources for testing the immediate effects with high power.,method,Method,10,1,5,09567976211007788
"Instead, we conducted an a priori power analysis based on the comparison between the boost+ and consensus-only conditions of Experiment 2 (see the Supplemental Material; final N = 854, 65.81% female, mean age = 35.90 years, SD = 12.92).",method,Method,10,2,3,09567976211007788
"In the case of climate change, we found moderate evidence against the effectiveness of an extensive boost (the boost+ condition) to correct a misperception (BF 10 = 0.18; increase in belief in true statement: d = 0.04), whereas a high-powered experiment about genetically engineered food yielded extreme evidence in favor of boosting consensus reasoning to aid participants to come to an accurate belief (BF 10 = 309.98; decrease in belief in false statement: d = -0.35).",discussion,Discussion,12,1,4,09567976211007788
"Finally, it could be that we did not have enough statistical power in the climate-change experiment to find a true difference between the boost+ and the consensus-only conditions.",discussion,Discussion,12,3,5,09567976211007788
"Even if a true effect existed in our sample of climate-change deniers similar in size to the one we found in Experiment 3 about genetically engineered food, then the experiment about climate change was underpowered (achieved power ~55%).",discussion,Discussion,12,3,7,09567976211007788
"Ninety subjects participated in three experiments for payment or course credit: 20 participants in Experiment 1 (14 female; age: M = 24.35 years, SD = 3.88; all right handed; sample size in this more exploratory experiment was chosen on the basis of a common practice for exploratory experiments in our laboratory), 20 participants in Experiment 2 (13 female; age: M = 23.35 years, SD = 1.77; all right handed; sample size was selected on the basis of a power analysis on the effect from Experiment 1; see preregistration at <https://osf.io/wa8g6/>), and 50 participants in Experiment 3 (29 female; age: M = 24.76 years, SD = 3.48; 47 right handed; sample size was defined by multiplying the sample size of Experiment 2 by 2.5; see Simonsohn, 2015).",method,Subjects,4,1,1,09567976211010718
"Fifteen of the 16 studies were preregistered; all preregistrations describe power analyses guiding our sample sizes, detailed methods, and analysis plans.",intro,Statement of Relevance,6,2,3,09567976211011969
"The Pocock method suggests we use .028 as a threshold, the O'Brien-Fleming method suggests .049, and the Power Family method suggests .034.",annex,Supplemental Material,48,3,13,09567976211011969
This yielded both power and phase values of 18 frequency bins from 0 Hz to 20.6 Hz.,method,Data analysis,6,2,9,09567976211013045
"To statistically assess the presence or absence of a significant temporal pattern in our hit-rate time course (i.e., peaks in its power spectrum), we applied a nonparametric resampling procedure.",method,Data analysis,6,3,1,09567976211013045
"This created a distribution of 10,000 power values for each frequency bin, from which we determined the statistical thresholds (p = .005; i.e., Bonferroni corrected for tests in 10 frequency bins).",method,Data analysis,6,3,4,09567976211013045
"For significant peaks in the power spectrum, determined as described above, we compared the corresponding phase angles between the TMT A and TMT B conditions using a parametric Watson-Williams two-sample test (Berens, 2009).",method,Data analysis,6,3,7,09567976211013045
"Specifically, 6-Hz fluctuations for TMT A trials timelocked to template A were significantly larger than the power observed in our distribution of surrogate data (Fig. 4 we observed a significant peak at 9.7 Hz for TMT B trials if time-locked to template B (p < .001, d = 0.39).",results,Results,7,3,3,09567976211013045
"Vergauwe et al., 2016) and that template A required phaseadjusted attentional refreshment to compensate for retroactive interference exerted by template B Note, however, that it is also possible that the permutation approach we applied lacked the statistical power to detect peaks in both conditions.",discussion,Performance for two templates fluctuates at different phase angles,10,2,6,09567976211013045
"However, observed patterns have been partly contradictory and have limited discriminative power (DePaulo et al., 2003).",intro,[div-01],1,2,3,09567976211015941
Too many variables may lead to overfitting and poor out-of-sample prediction power.,results,Results,5,4,5,09567976211015941
"To ensure sufficient statistical power, we tripled the projected sample size for the three between-participant conditions and recruited somewhat above that number.",annex,Supplemental Material,21,2,1,09567976211016395
"However, to ensure that our study would have sufficient power to detect a possible mediation effect, we used the mc_ power_med app (Schoemann et al., 2017) to calculate sample-size requirements for a basic mediation analysis.",method,Participants,4,1,4,09567976211016410
"Assuming the smallest effect size of interest (r = .3) between each of the pathways (a, b, and c′), we estimated that a total sample size of 240 participants would provide power of .95 to detect a significant mediation effect with an α of .05.",method,Participants,4,1,5,09567976211016410
"We aimed to achieve power of .95 (rather than the field standard of .8) to allow for potential increases in residual errors arising from online data collection and to increase our power to detect other potential effects (e.g., moderation) in the analyses.",method,Participants,4,1,6,09567976211016410
Statistical power,method,Statistical power,5,0,1,09567976211017870
"Given our sample size of 50 per group, with 18 repetitions per observation in our primary task, we had approximately 90% power to detect three-way interactions with a small effect size (Cohen's d = 0.2).",method,Statistical power,5,1,2,09567976211017870
"This sample size, reflecting the number of participants we successfully managed to recruit across a fixed-duration recruitment period of 2 months, provided high power (> 99.9%, 95% confidence interval [CI] = [99.6, 100.0]) to detect an estimated medium-size effect for the fixed effect of self-reported personality traits in the linear mixed-effects model.",method,Method,4,2,5,09567976211018618
"This test was chosen for the power analysis because it directly assessed the central hypothesis, namely, that beliefs about oneself (in this case, beliefs about one's personality traits) would be related to corresponding visual features of the self-portrait.",method,Method,4,2,6,09567976211018618
"Power calculations were based on Monte Carlo simulations using the simr package (Version 1.0.5; Green & MacLeod, 2016) in the R programming environment.",method,Method,4,2,7,09567976211018618
"This sample size provided adequate power (81.4%, 95% CI = [78.9, 83.8]) to detect an estimated medium-size effect (slope: β = 0.35; Acock, 2014) for the fixed main effect of body self-esteem in the linear mixed-effects model.",method,Method,8,2,5,09567976211018618
"This test was chosen for the power analysis because it directly assessed the central hypothesis, namely, that attitudes toward oneself (body self-esteem, in this case) would be related to visual features of the body self-portrait.",method,Method,8,2,6,09567976211018618
"In addition, at a time when our culture is powered by images at an unprecedented level, and our obsession with our own image is evidenced in our social media use (Storr, 2018), our approach and the novel insights presented here pave the way for future explorations, in a data-driven, unconstrained, and richly detailed way, of how we mentally see ourselves.",discussion,Discussion,11,10,3,09567976211018618
"Importantly, across all of our well-powered longitudinal analyses, we found no evidence that socially oriented positive emotions interfered with people's motivation to engage in CDC-recommended health behaviors.",discussion,Discussion,18,2,4,09567976211024260
"This high-powered, preregistered replication of Pennycook et al.'s study offers nuance to the existing body of research on accuracy nudges.",method,Statement of Relevance,4,1,3,09567976211024535
"Power calculations were done in accordance with the guidelines of the Social Sciences Replication Project (SSRP), which states that the first round of data collection must achieve 90% power to detect 75% of the original effect size.",method,Sample,5,1,3,09567976211024535
"The pooled sample (both the first and second stage) must achieve 90% power to detect 50% of the original effect size; in our case, this meant that an additional 882 participants (or 26,443 ratings) would be recruited if the replication failed in the first round, for a total of 1,583 participants in the pooled sample.",method,Sample,5,1,6,09567976211024535
The full preregistered power analysis for this replication can be found on OSF at <https://osf.io/rkfq5/>.,method,Sample,5,1,7,09567976211024535
"In our independent replication, we found that the first stage of data collection, calculated to achieve 90% power to detect 75% of the target study's effect size, was unsuccessful: We found no significant difference between the treatment and control groups in truth discernment (p = .67).",discussion,Discussion and Conclusion,11,1,2,09567976211024535
"After a second stage of data collection (the pooled sample size was powered at 90% to detect 50% of the original effect size), we replicated the treatment effect.",discussion,Discussion and Conclusion,11,1,3,09567976211024535
"According to our simulations of a 2 (frame) × 2 (time-constraint condition) repeated measures analysis of variance (ANOVA; Lakens & Caldwell, 2021), 40 participants would provide power of .98.",method,Participants,4,2,3,09567976211026983
"Given a target of 80% statistical power and an estimated medium effect size (d) of 0.50-similar to other laboratory identity manipulations (Bryan et al., 2014)-power analyses indicated that we would need to recruit at least 84 refugees.",method,Method,4,1,2,09567976211028978
"Although these responses were to different prompts, they indicate how agentic and empowered refugees represented themselves to be in response to the manipulation, a particularly important question given the power of recursive stigma-related processes in interpersonal interaction (e.g., Word et al., 1974).",method,Method,4,16,3,09567976211028978
"With a target of 80% statistical power and an estimated effect size (d) between 0.15 and 0.25, power analyses indicated that we would need to recruit at least 398 participants (d = 0.25) for t tests.",method,Method,7,1,2,09567976211028978
"To obtain 80% statistical power to detect an estimated 20% increase in mean loginsconsistent with effects found in prior research in onlinelearning environments (e.g., Davis et al., 2017)-would require 458 participants.",method,Method,7,1,4,09567976211028978
This reduced power to detect condition effects on a monthby-month basis.,results,Results,8,2,4,09567976211028978
"Given the power of self-fulfilling processes in stigma-relevant interactions (e.g., Word et al., 1974), it is exciting to consider whether improved interactions in the learning environment-where refugees are increasingly treated as the strong, agentic students they have come to see and present themselves to be-could reinforce the intervention message and create a virtuous cycle that contributes to lasting gains (cf.",discussion,General Discussion,9,4,3,09567976211028978
"An a priori power analysis indicated that our experimental design required 54 participants to uncover an effect size (f) of .25 (similar to the effect size found by Xiao et al., 2015, who showed developmental changes in eye tracking of dynamic faces across infancy) in a 2 (within subjects) × 2 (between subjects) analysis of variance (ANOVA) given an α of .05 and 95% power (correlation among repeated measures = .5, no nonsphericity correction).",method,Participants,4,2,1,09567976211030630
"Our final sample size (N = 88), after we excluded data from participants as described above, exceeded the sample size required as indicated by the a priori power analysis.",method,Participants,4,2,3,09567976211030630
Power analysis suggests that a 95% probability of detecting an effect of this size (Cohen's d = 0.20) requires a sample size of 327 in a within-subjects design.,method,Method,3,1,5,09567976211032224
Power analysis suggested that 45 participants were needed for a 95% chance of detecting an effect of this size.,method,Method,12,1,8,09567976211032224
"Participants, data inclusion, and statistical power",method,"Participants, data inclusion, and statistical power",5,0,1,09567976211032676
"For this reason, we calculated power for an effect that we minimally wanted to be sensitive to.",method,"Participants, data inclusion, and statistical power",5,4,2,09567976211032676
"Note that, as mentioned, the sample size for Experiment 1 was chosen for convenience, and we provide the power calculation here only for information.",method,"Participants, data inclusion, and statistical power",5,4,3,09567976211032676
"The sample of 97 participants yielded a power of 99.8% for a paired contrast (two tailed) in the case of a medium effect size (d = 0.5) or 49.6% power in the case of a weak effect size (d = 0.2), based on an a priori Type I error rate (α) of .05.",method,"Participants, data inclusion, and statistical power",5,4,4,09567976211032676
"This sample size was chosen to ensure at least 80% power (two tailed) to detect an effect of medium size (d ≥ 0.5) within each level given 34 participants per level, plus margin for potential rejection of unreliable data.",method,"Participants, data inclusion, and statistical power",5,5,2,09567976211032676
"In addition to the a priori power considerations regarding the paired comparisons, the power to detect the effect of the between-subjects factor is relevant here (which we provide only for information and did not use when determining the sample size).",method,"Participants, data inclusion, and statistical power",5,5,5,09567976211032676
The resulting sample of 194 participants yielded a power of 87.8% (one tailed) to detect a weak correlation (r = .2).,method,"Participants, data inclusion, and statistical power",5,5,6,09567976211032676
"All power calculations were performed using G*Power (Version 3.1; Faul et al., 2009).",method,"Participants, data inclusion, and statistical power",5,5,8,09567976211032676
"In Studies 1 and 2, we conducted power analyses with the R package Declare-Design (Version 0.30.0; Blair et al., 2022), which indicated that a minimum sample of 500 participants per condition would be needed to achieve a standardized effect size (Cohen's d) of 0.18 (based on Voelkel et al., 2020) with an α of .05 and 80% power.",method,Participants,6,1,3,09567976211040803
"For Study 3, we calculated that a minimum sample size of 950 would be required to achieve a standardized effect size (Cohen's d) of 0.20 with an α of .05 and 80% power.",method,Participants,6,2,1,09567976211040803
"In the second measure of compromise, participants reported their willingness to work with two managers who had the power to decide whether they would use the hiring algorithm or not.",method,Willingness to compromise.,9,4,2,09567976211040803
"Across six studies, we demonstrated the generalizability, accuracy, and power of our approach.",intro,Statement of Relevance,2,2,3,09567976211043426
"Experiment 3 (N = 50), the number of participants was determined through power analysis based on our effect sizes in Experiments 1 and 2, respectively (we used higher power in Experiment 3, as this included a few changes to the design; see the Method section for Experiment 3).",method,General Method,4,3,1,09567976211043428
This sample size was selected on the basis of an a priori power analysis that tested the difference between confidence resolution in Session 1 and Session 2 of Experiment 1 (using a two-tailed paired-samples t test with an α of .01).,results,Results,7,6,3,09567976211043428
This analysis showed that 35 participants were required to achieve a power of .80.,results,Results,7,6,4,09567976211043428
"The sample size was selected on the basis of a power analysis for the confidence-resolution effect in Experiment 2, which showed that 50 participants were required to achieve a power of .90 for an α of .05.",method,Method,10,1,5,09567976211043428
"Matuschek et al. (2017) took a more nuanced stance, arguing that maximal models can incur a loss of statistical power.",intro,[div-01],1,2,5,09567976211046884
"In analogy to the effect of sample size on statistical power in frequentist significance testing, we should expect sample size, and probably also the number of trials, to reduce that risk.",results,Results,18,1,7,09567976211046884
"This sample size is greater than is common in other demonstrations of the LPE (e.g., Fleck & Mitroff, 2007;Wolfe et al., 2005Wolfe et al.,, 2007) ) and is sufficient to detect an effect when a target is present on only 20% of trials, given .95 power and a .05 tolerance for Type I errors using a paired-samples t test.",method,Method,3,1,3,09567976211048485
"Sample-size estimates were made with G*Power (Version 3.1;Faul et al., 2007).",method,Method,3,1,5,09567976211048485
"1 All three experiments provided evidence that similarity search reduces the LPE relative to present/absent search, and planned comparisons failed to find evidence for an LPE in similarity search every time and when data were pooled across experiments to increase statistical power.",discussion,Discussion,13,1,5,09567976211048485
But we eliminated the LPE insofar as we detected it reliably when participants made present/absent searches and consistently failed to detect it under equal power in three experiments that used similarity searches.,annex,Supplemental Material,19,1,3,09567976211048485
"The sample size for the study was determined on the basis of an a priori power analysis (G*Power, Version 3.1; Faul et al., 2009) run for a mixed analysis of variance (ANOVA) containing within-between interactions (two measurements and four groups, respectively).",method,Method,4,1,2,09567976211049439
We assumed a medium effect size (f = 0.15) and power at the level of .90.,method,Method,4,1,3,09567976211049439
It turned out that a sample of at least 164 participants would be necessary to obtain the assumed power.,method,Method,4,1,4,09567976211049439
Analyses with epistemic authority were our secondary preregistered analyses (our study design and power calculations were tailored to the primary analyses: Feedback × Self-View × Condition interaction).,results,Results,10,5,7,09567976211049439
"Societal racial bias and discrimination is described as relying on White power structures (e.g., Berard, 2008), and classic intergroup theories in social psychology suggest that societal institutions (e.g., law enforcement) are largely shaped by dominant groups (e.g., Sidanius & Pratto, 1999).",intro,Statement of Relevance,2,3,3,09567976211051272
"Also, restricting the number of respondents reduces the number of counties included in analyses and may thereby reduce test power.",method,Analysis plan,5,1,3,09567976211051272
"We used G*Power (Version 3.1; Faul et al., 2009) to determine the sample size to ensure sufficient power.",method,Method,3,2,3,09567976211052476
"We based the power calculation on the results from the most similar study available, namely that of Carstensen et al.",method,Method,3,2,4,09567976211052476
"Given an α of .05 and N predictor of 8, a minimum of 77 participants would give us a power of .8 to detect an effect using F tests for multiple linear regression.",method,Method,3,2,8,09567976211052476
"A power analysis (conducted in G*Power Version 3.1; Faul et al., 2007) determined that at least 15 samples would be necessary to detect such an effect with a statistical power of .8.",method,Method,3,1,4,09567976211055375
"A power analysis (conducted in G*Power Version 3.1; Faul et al., 2007) determined that 22 samples were necessary to detect such an effect with a statistical power of .9.",method,Method,7,1,3,09567976211055375
A power analysis based on the effect size obtained in Experiment 2 (r < -.32 between WM precision and the bias magnitude) determined that at least 99 samples would be necessary to detect such an effect with a statistical power of .9.,method,Method,13,1,2,09567976211055375
"Sample-size estimation for all experiments was based on a priori power analyses using G*Power (Version 3.1.9.4;Faul et al., 2007).",intro,The Present Research,3,2,1,09567976211061321
"For Experiments 1a, 1b, 2, and 3, analyses determined that 410 participants per condition would be necessary to achieve a Cohen's d effect size of 0.30 with 99% power and that 394 participants per condition would be necessary to achieve a Cohen's d effect size of 0.20 with more than 80% power.",intro,The Present Research,3,2,2,09567976211061321
"For Experiment 4, analyses determined that 290 participants per condition would be necessary to achieve a Cohen's d effect size of 0.30 with 95% power and that 253 participants per condition would be necessary to achieve a Cohen's d effect size of 0.25 with 80% power.",intro,The Present Research,3,2,3,09567976211061321
"We analyzed the number of clicks made for each trial, click duration, click intensity, interclick intervals, and click power spectra, as well as power-spectral centroid and bandwidth based on power spectra.",method,Acoustical analyses of mouth clicks,9,1,2,09567976211068070
"To characterize the spectral content of clicks, we computed each click's power spectrum and then determined the power-spectral centroid and the bandwidth for each trial using a 25-dB drop relative to peak (Arditi et al., 2015) and using the powerbw.m function implemented in the MATLAB signal-processing toolbox.",method,Acoustical analyses of mouth clicks,9,1,11,09567976211068070
"Consistent with these observations, a repeated measures ANOVA with location (0°, 45°, and 90°) as a repeated variable showed a significant effect of location on thresholds, F GG (2, 8.36) = 10.73, p = .010, η p 2 = .573, power = .831.",results,Results,12,1,6,09567976211068070
"It is evident that interval, (g) bandwidth (25-dB drop relative to peak), and (h) power spectral centroid, separately for targets placed at 0°, 45°, and 90° relative to the position of participants.",results,Results,12,2,2,09567976211068070
"Consistent with these observations, a repeated measures ANOVA with location as a repeated variable showed no effect of location on bias, F(2, 16) = 1.142, p = .344, η p 2 = .125, power = .216, and one-sample t tests comparing bias with zero were not significant for any reference position-0°: t(8) = 0.43, p = .677; 45°: t(8) = 0.055, p = .958; 90°: t(8) = 1.25, p = .247.",results,Results,12,3,2,09567976211068070
"Consistent with these observations, a repeated measures ANOVA with location as a repeated variable showed a significant effect of location on click intensity (in decibels of sound-pressure level [db SPL]), F(2, 16) = 8.73, p = .003, η p 2 = .522, power = .934.",results,Results,12,4,2,09567976211068070
Click power spectra also remained unchanged (Fig.,results,Results,12,4,5,09567976211068070
"This finding is in agreement with those of previous studies showing no change in click power spectra (or spectral centroid or bandwidth) as a function of task demands (e.g., Thaler et al., 2018Thaler et al.,, 2019).",results,Results,12,4,7,09567976211068070
"Click power spectra (1/3 octave bands with respect to total power) for the 0°, 45°, and 90° testing locations (top, middle, and bottom graphs, respectively).",results,Results,12,5,5,09567976211068070
"The graphs show (a) localization threshold, (b) bias, (c) click intensity, (d) number of clicks, (e) click duration, (f) interclick interval, (g) bandwidth (25-dB drop relative to peak), and (h) power spectral centroid, separately for targets placed at 0°, 45°, and 90° relative to the position of participants.",fig,Fig. 1 .,0,NA,4,09567976211068070
"To do so, we conducted a power analysis for a repeated measures analysis of variance (ANOVA) using G*Power (Version 3.1;Faul et al., 2007), which determined that a sample of 29 participants would be needed to detect an effect size (η p 2 ) of .42 with power of .95 and α of .05.",method,Method,2,1,5,09567976211068880
"A sample size of 50 provides 80% power to detect within-subjects effects (i.e., among four familiarity conditions) of f ≥ .17, between-subjects effects (i.e., between two training groups) of f ≥ .32, and withinbetween-subjects interactions of f ≥ .17 (Faul et al., 2007).",method,Participants,7,1,4,0956797621991137
"The familiar-voice benefit to speech intelligibility found in previous studies has a large effect size (f = 0.72 in Johnsrude et al. (2013) and f = 0.88 in Holmes et al. (2018), and familiarity effects of this size should be detectable with power of about 100% in the current design.",method,Participants,7,1,5,0956797621991137
The levels of recorded sentences were normalized for rootmean-square power.,method,Stimuli,10,4,8,0956797621991137
"Thus, our results highlight the myriad effects of emotion on memory. conducted a power analysis based on Madan et al.'s (2017) second experiment.",method,Statement of Relevance,4,1,9,0956797621991548
The current study allowed us to compare the predictive power of trait and state measures of empathy in predicting prosocial behavior and subjective well-being.,intro,Correlates of Empathy in Daily Life,3,3,2,0956797621995202
Sensitivity analyses further suggested that this sample size has 80% power to detect between-subjects effects (d) of 0.33 or greater.,method,Procedure,8,4,1,0956797621995202
"At the survey level, we had 80% power to detect between-and within-subjects effects of 0.18 and 0.08, respectively.",method,Procedure,8,4,2,0956797621995202
S2-S7 at <https://osf.io/zd6wv/>) as well as adequately powered to make precise estimates about the frequency of empathy and its correlation with prosocial behavior and well-being.,method,Procedure,8,6,1,0956797621995202
"After correction, religiosity was not associated with any other daily empathy or trait empathy measures (all ps > .05), although it is possible that the true effects were smaller than our study was powered to detect (d = 0.33, r = .16).",results,Who feels empathy: demographics of daily empathy,14,2,7,0956797621995202
"Further, our study was powered to detect effects (ds) only as small as 0.33 (r = .16) at the trait level, so it is possible that there are true effects that were too small for us to detect.",results,Who feels empathy: demographics of daily empathy,14,3,5,0956797621995202
"However, other relationships did not replicate in the context of daily life; we found a weak relationship between compassion and income and little to no relationship between empathy and political orientation-although the true effects of income and politics on empathy may be smaller than we were able to detect given our statistical power.",discussion,Discussion,15,5,3,0956797621995202
"Prior to the experiment, we conducted a power analysis based on the null hypothesis for the mean ordinal number in the revealed block (for more details regarding the analysis, see below).",method,Participants,3,1,3,0956797621996660
"This power analysis indicated that to obtain a power of at least .8 for detecting a medium effect size (d = 0.5), approximately 32 participants were needed (for more information, see the preregistrations).",method,Participants,3,1,4,0956797621996660
"Calculations using G*Power (Version 3.1.7;Faul et al., 2009) showed that this sample size would yield a power of greater than 90% to detect medium-sized effects of evaluative information and interactions of evaluative information and attention tasks (η p 2 = .06).",method,Participants,4,1,2,0956797621996667
"We conducted separate power analyses for Experiments 1 and 2 because their effect sizes were different, predicating power in each case on number of observations rather than sample size (because each participant provided a variable number of observations).",method,Method,4,1,2,0956797621997366
"Concerning the nonsignificant overall self-centrality effects, one possibility is that this null effect is due to a statistical power issue.",discussion,Discussion,8,2,1,0956797621997366
"Longitudinal results (Connor & Siegrist, 2016;Visschers & Siegrist, 2013) indicate that risk perceptions remain fairly stable even after incisive events such as the Fukushima accident (Visschers & Siegrist, 2013); although fluctuations in attitudes concerning nuclear power have been observed, these were related more strongly to changes in perceived benefits rather than to changes in perceived risks (Siegrist et al., 2014).",intro,Person-specific drivers: psychological dispositions and sociodemographic characteristics,4,6,2,0956797621998312
"We decided to obtain a sample size that would allow us to detect a within-subjects difference of at least a medium effect size (Cohen's d > 0.5) with 80% power, using a twotailed t test.",method,Participants,3,1,3,09567976221082637
"A power analysis using G*Power (Version 3.1.9.3;Faul et al., 2007) indicated that this required a sample size of 34.",method,Participants,3,1,4,09567976221082637
